"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JPAN4SVK","journalArticle","2007","Fleurbaey, Marc","Social choice and the indexing dilemma","Social Choice and Welfare","","1432-217X","10.1007/s00355-007-0248-x","https://doi.org/10.1007/s00355-007-0248-x","This paper distinguishes an index ordering and a social ordering function as a simple way to formalize the indexing problem in the social choice framework. Two main conclusions are derived. First, the alleged dilemma between welfarism and perfectionism is shown to involve a third possibility, exemplified by the fairness approach to social choice. Second, the idea that an individual is better off than another whenever he has more (goods, functionings, etc.) in all dimensions, which is known to enter in conflict with the Pareto principle, can be partly salvaged by adopting the fairness approach.","2007-12-01","2024-04-01 17:02:10","2024-04-01 17:02:10","","633-648","","4","29","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JBX5758R","journalArticle","2013","Bargain, Olivier; Decoster, André; Dolls, Mathias; Neumann, Dirk; Peichl, Andreas; Siegloch, Sebastian","Welfare, labor supply and heterogeneous preferences: evidence for Europe and the US","Social Choice and Welfare","","1432-217X","10.1007/s00355-012-0707-x","https://doi.org/10.1007/s00355-012-0707-x","Following the report of the Stiglitz Commission, measuring and comparing well-being across countries has gained renewed interest. Yet, analyses that go beyond income and incorporate non-market dimensions of welfare most often rely on the assumption of identical preferences to avoid the difficulties related to interpersonal comparisons. In this paper, we suggest an international comparison based on individual welfare rankings that fully retain preference heterogeneity. Focusing on the consumption-leisure trade-off, we estimate discrete choice labor supply models using harmonized microdata for 11 European countries and the US. We retrieve preference heterogeneity within and across countries and analyze several welfare criteria which take into account that differences in income are partly due to differences in tastes. The resulting welfare rankings clearly depend on the normative treatment of preference heterogeneity with alternative metrics. We show that these differences can indeed be explained by estimated preference heterogeneity across countries—rather than demographic composition.","2013-10-01","2024-04-01 17:03:52","2024-04-01 17:03:52","","789-817","","4","41","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95RICT53","journalArticle","2012","Conley, John P.; Wilkie, Simon","The ordinal egalitarian bargaining solution for finite choice sets","Social Choice and Welfare","","1432-217X","10.1007/s00355-010-0516-z","https://doi.org/10.1007/s00355-010-0516-z","Rubinstein et al. (Econometrica 60:1171–1186, 1992) introduced the Ordinal Nash Bargaining Solution. They prove that Pareto optimality, ordinal invariance, ordinal symmetry, and IIA characterize this solution. A feature of their work is that attention is restricted to a domain of social choice problems with an infinite set of basic allocations. We introduce an alternative approach to solving finite social choice problems using a new notion called the Ordinal Egalitarian (OE) bargaining solution. This suggests the middle ranked allocation (or a lottery over the two middle ranked allocations) of the Pareto set as an outcome. We show that the OE solution is characterized by weak credible optimality, ordinal symmetry and independence of redundant alternatives. We conclude by arguing that what allows us to make progress on this problem is that with finite choice sets, the counting metric is a natural and fully ordinal way to measure gains and losses to agents seeking to solve bargaining problems.","2012-01-01","2024-04-01 17:04:32","2024-04-01 17:04:32","","23-42","","1","38","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XMEGLJUC","journalArticle","1996","Roberts, Kevin","Objective interpersonal comparisons of utility","Social Choice and Welfare","","1432-217X","10.1007/s003550050053","https://doi.org/10.1007/s003550050053","This paper examines the problem of distilling conflicting interpersonal comparisons into a single set of interpersonal comparisons. The mapping that achieves this has a richer co-domain than all social choice problems (and a richer domain than most social choice problems). The set of mappings satisfying a mild set of restrictions is very small. If interpersonal comparisons embody ratio-scale comparability then the mapping is Cobb–Douglas in form; if interpersonal comparisons embody no more than level and difference comparability then the mapping must be dictatorial and it is impossible to combine different interpersonal comparisons.","1996-12-01","2024-04-01 17:06:10","2024-04-01 17:06:10","","79-96","","1","14","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WM6N75LF","journalArticle","1999","Tungodden, Bertil","The distribution problem and Rawlsian reasoning","Social Choice and Welfare","","1432-217X","10.1007/s003550050163","https://doi.org/10.1007/s003550050163","The difference principle of Rawls has been wrongly translated in the formal literature on welfare economics and social choice theory. The difference principle is concerned with the welfare of the members of the least advantaged segment, and, thus, does not – as frequently argued – assign dictatorial power to the person in the worst off position in society. This distinction is important, and the focus on a leximingroup rule makes the Rawlsian position more plausible than it is in the `disguise' of the conventional leximin rule. However, there is a difficulty with this approach, to wit how to understand the least advantaged segment in society. Various definitions are considered in the paper, but it turns out that in most cases these definitions imply that we have to accept the leximin rule. We suggest one line of reasoning that makes the Rawlsian leximingroup rule a genuine alternative to the leximin rule. In this approach, an independent norm level is imposed on the analysis (i.e. a cut off line that is independent of the distribution of welfare under consideration), and the least advantaged segment is identified as those who have less than this minimum stipend.","1999-09-01","2024-04-01 17:07:45","2024-04-01 17:07:45","","599-614","","4","16","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2ER2Y3VW","journalArticle","2005","Gerber, Anke","Reference functions and solutions to bargaining problems with and without claims","Social Choice and Welfare","","1432-217X","10.1007/s00355-004-0315-5","https://doi.org/10.1007/s00355-004-0315-5","Following an idea due to Thomson (Journal of Economic Theory, 1981, 25: 431–441) we examine the role of reference functions in the axiomatic approach to the solution of bargaining problems with and without claims. A reference function is a means of summarizing essential features of a bargaining problem. Axioms like Independence of Irrelevant Alternatives and Monotonicity are then reformulated with respect to this reference function. Under some weak conditions on the reference function we obtain characterizations of different parametrized classes of solutions. We present several examples of reference functions and thereby recover many well-known solutions to bargaining problems with and without claims.","2005-06-01","2024-04-01 17:08:38","2024-04-01 17:08:38","","527-541","","3","24","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"I2IFF2ND","journalArticle","1993","Sprumont, Yves","Intermediate preferences and Rawlsian arbitration rules","Social Choice and Welfare","","1432-217X","10.1007/BF00187429","https://doi.org/10.1007/BF00187429","Given the preferences of two agents over a finite set of alternatives, an arbitration rule selects some fair compromise. We study the idea that more consensus should not be harmful: the closer your preferences are to mine (in the sense of Grandmont's (1978) intermediate preferences), the better I like the selected alternative. We describe several Pareto optimal rules satisfying this principle. If, in addition, a condition akin to Suppes' (1966) grading principle is imposed, the rule must always choose an alternative maximizing the welfare of the worst-off agent, measured by the number of alternatives that he finds worse than the chosen one.","1993-01-01","2024-04-01 17:09:28","2024-04-01 17:09:28","","1-15","","1","10","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M7XEPRVX","journalArticle","2015","Bossert, Walter; Fleurbaey, Marc","An Interview with Kotaro Suzumura","Social Choice and Welfare","","1432-217X","10.1007/s00355-014-0827-6","https://doi.org/10.1007/s00355-014-0827-6","","2015-01-01","2024-04-01 17:10:26","2024-04-01 17:10:26","","179-208","","1","44","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KU7RL5CF","journalArticle","2001","Gilboa, Itzhak; Schmeidler, David","A cognitive model of individual well-being","Social Choice and Welfare","","1432-217X","10.1007/s003550100103","https://doi.org/10.1007/s003550100103","This paper offers a model of individual well-being that takes into account cognitive factors. It postulates that individuals compare payoffs to aspiration levels. The latter are determined by past experiences (adaptation), by other people's performance (interpersonal comparison), as well as by reasoning (justifications and excuses). We axiomatize a measure of well-being defined on real-valued vectors of various lengths. It is a linear combination of differences between payoffs and aspiration levels, where the aspiration level at each instance is a linear function of past payoffs.","2001-04-01","2024-04-01 17:12:07","2024-04-01 17:12:07","","269-288","","2","18","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YDTG2K5N","journalArticle","1998","Dhillon, Amrita","Extended Pareto rules and relative utilitarianism","Social Choice and Welfare","","1432-217X","10.1007/s003550050121","https://doi.org/10.1007/s003550050121","This paper introduces the “Extended Pareto” axiom on Social Welfare Functions and gives a characterization of the axiom when it is assumed that the Social Welfare Functions that satisfy it in a framework of preferences over lotteries also satisfy the restrictions (on the domain and range of preferences) implied by the von-Neumann Morgenstern axioms. With the addition of 2 other axioms: “Anonymity” and a weak version of Arrow's Independence of Irrelevant Alternatives axiom: “Weak IIA” it is shown that there is a unique Social Welfare Function called “Relative Utilitarianism” that consists of normalising individual utilities between 0 and 1 and adding them.","1998-08-01","2024-04-01 17:13:37","2024-04-01 17:13:37","","521-542","","4","15","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2UJU6WFJ","journalArticle","2017","Bossert, Walter; Suzumura, Kotaro","The greatest unhappiness of the least number","Social Choice and Welfare","","1432-217X","10.1007/s00355-017-1066-4","https://doi.org/10.1007/s00355-017-1066-4","We propose an alternative articulation of the Benthamite greatest-happiness-of-the-greatest-number principle. With ordinally measurable and interpersonally non-comparable utilities, the rule chooses those feasible alternatives that maximize the number of individuals who end up with their greatest element. This rule is tantamount to the plurality rule. Furthermore, in the spirit of Rawls’s maximin principle, we propose the greatest-unhappiness-of-the-least-number principle. In analogy to the greatest-happiness principle, the least-unhappiness principle is formally equivalent to the anti-plurality rule. Our main result is a characterization of the least-unhappiness principle.","2017-12-01","2024-04-01 17:14:41","2024-04-01 17:14:41","","637-655","","3","49","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PJ6NS2BX","journalArticle","2003","Fleurbaey, Marc","On the informational basis of social choice","Social Choice and Welfare","","1432-217X","10.1007/s00355-003-0263-5","https://doi.org/10.1007/s00355-003-0263-5","The notion of informational basis in social choice can be broadened so as to cover not only the standard notions related to interpersonal utility comparisons, but also information about utilities or preferences at (ir)relevant alternatives, non-utility features of alternatives, personal responsibility, unconcerned subpopulations, and feasibility constraints. This paper proposes a unified conceptual framework for all these notions, and analyzes the kind of information retained in each case. This new framework yields a deeper understanding of the difficulties and possibilities of social choice. New welfarism theorems are also obtained.","2003-10-01","2024-04-01 17:18:28","2024-04-01 17:18:28","","347-384","","2","21","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CXNH8UED","journalArticle","2013","Candeal, Juan C.","Invariance axioms for preferences: applications to social choice theory","Social Choice and Welfare","","1432-217X","10.1007/s00355-012-0692-0","https://doi.org/10.1007/s00355-012-0692-0","I investigate the role played by the combination of two invariance axioms for preferences in utility theory; namely, those of zero-independence and scale-independence, respectively. I provide a characterization of the preference relations on $${\mathbb{R}^{n}}$$that satisfy these two axioms as those which are either trivial, or what I call a two-serial total preorder on $${\mathbb{R}^{n}}$$. This result is then applied in social choice theory to characterize those social welfare functions that satisfy IIA and PI. Other characterizations involving the usual Pareto concepts are also provided.","2013-09-01","2024-04-01 17:19:13","2024-04-01 17:19:13","","453-471","","3","41","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NXL86LPY","journalArticle","2000","Khmelnitskaya, Anna B.; Weymark, John A.","Social choice with independent subgroup utility scales","Social Choice and Welfare","","1432-217X","10.1007/s003550000058","https://doi.org/10.1007/s003550000058","In this article, the kinds of utility comparisons that can be made may differ in distinct population subgroups. Within each subgroup, utility is either ordinally or cardinally measurable. Levels and differences of utility may or may not be interpersonally comparable within a subgroup. No utility comparisons are possible between subgroups. Given these informational assumptions, it is shown that any continuous social welfare ordering that satisfies the weak Pareto principle only depends on the utilities of one of the subgroups. The class of social welfare orderings consistent with these assumptions is determined by the scale type of the dictatorial subgroup.","2000-08-01","2024-04-01 17:21:38","2024-04-01 17:21:38","","739-748","","4","17","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98B7RNZK","journalArticle","2019","Rachmilevitch, Shiran","Egalitarianism, utilitarianism, and the Nash bargaining solution","Social Choice and Welfare","","1432-217X","10.1007/s00355-018-01170-6","https://doi.org/10.1007/s00355-018-01170-6","A bargaining solution satisfies egalitarian–utilitarian monotonicity (EUM) if the following holds under feasible-set-expansion: a decrease in the value of the Rawlsian (resp. utilitarian) objective is accompanied by an increase in the value of the utilitarian (resp. Rawlsian) objective. A bargaining solution is welfarist if it maximizes a symmetric and strictly concave social welfare function. Every 2-person welfarist solution satisfies EUM, but for $$n\ge 3$$every n-person welfarist solution violates it. In the presence of other standard axioms, EUM characterizes the Nash solution in the 2-person case, but leads to impossibility in the n-person case.","2019-04-01","2024-04-01 17:23:23","2024-04-01 17:23:23","","741-751","","4","52","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HSQKJ3GM","journalArticle","1997","de Trenqualye, Pierre","An extension of Bowen’s dynamic voting rule to many dimensions","Social Choice and Welfare","","1432-217X","10.1007/s003550050097","https://doi.org/10.1007/s003550050097","We ask in this paper about the effect on social decisions of limiting the size of changes that voters may propose each time in an otherwise standard dynamic social choice model. The voting rule we study can be seen as an extension of Bowen’s dynamic “majority voting” rule, and is closely related to the dynamic procedures for public good allocation in the literature (Drèze and de la Vallée Poussin 1971; Malinvaud 1971; Laffont and Maskin 1983; Chander 1993). Under general assumptions we prove existence and Pareto efficiency of equilibrium, and show that our rule motivates voters not to misrepresent preferences (more precisely, the rule is Strongly Locally Individually Incentive Compatible). Under Euclidean preferences we find that electoral cycles do not arise (i.e., the rule is convergent), that there is a unique equilibrium, and that the equilibrium coincides with the solution to an old problem of geometry, first addressed by Fermat, Torricelli, and Cavallieri.","1997-11-01","2024-04-01 17:27:50","2024-04-01 17:27:50","","141-159","","1","15","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"US8YLWBV","journalArticle","1998","Saari, Donald G.","Connecting and resolving Sen's and Arrow's theorems","Social Choice and Welfare","","1432-217X","10.1007/s003550050103","https://doi.org/10.1007/s003550050103","It is shown that the source of Sen's and Arrow's impossibility theorems is that Sen's Liberal condition and Arrow's IIA counter the critical assumption that voters have transitive preferences. But if the procedures are not permitted to treat the transitivity of individual preferences as a valued input, then we cannot expect rational outputs. Once this common cause for these perplexing conclusions is understood, these classical conclusions end up admitting quite benign interpretations where it becomes possible to propose several resolutions.","1998-03-01","2024-04-01 17:30:03","2024-04-01 17:30:03","","239-261","","2","15","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BQL2QLW9","journalArticle","2009","Savaglio, Ernesto; Vannucci, Stefano","On the volume-ranking of opportunity sets in economic environments","Social Choice and Welfare","","1432-217X","10.1007/s00355-008-0343-7","https://doi.org/10.1007/s00355-008-0343-7","We provide a characterization of the volume-ranking of opportunity sets as defined on the set of all polyconvex sets, i.e. finite unions of convex, compact, Euclidean sets. In fact, such a domain is large enough to encompass most of the opportunity sets typically encountered in economic environments, including non-linear or even non-convex budget sets, and opportunity sets arising from production sets. Our result relies on a valuation-based volume-characterization theorem due to Klain and Rota (Introduction to Geometric Probability, Cambridge University Press, Cambridge, 1997) and helps to highlight some quite unusual conditions under which the volume-ranking can be justified as a freedom-ranking of opportunity sets. Therefore, it may also help to understand why the latter has been so conspicuously ignored in welfare analysis.","2009-06-01","2024-04-01 17:31:46","2024-04-01 17:31:46","","1-24","","1","33","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YSUA4CS8","journalArticle","2004","Weikard, Hans-Peter","On the economics of basic liberties","Social Choice and Welfare","","1432-217X","10.1007/s00355-003-0286-y","https://doi.org/10.1007/s00355-003-0286-y","The paper discusses the problem of initial assignments of rights. An attempt is made to characterise a system of rights in the spirit of Rawls’s first principle of justice according to which society should adopt the most extensive system of equal basic liberties.","2004-02-01","2024-04-01 17:43:28","2024-04-01 17:43:28","","267-280","","1","22","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B7FXB2K4","journalArticle","2008","Karni, Edi; Safra, Zvi","Moral sentiments and social choice","Social Choice and Welfare","","1432-217X","10.1007/s00355-007-0241-4","https://doi.org/10.1007/s00355-007-0241-4","We examine the implications, for social choice, of individuals having an intrinsic sense of fairness. Taking the viewpoint that social justice reflects the moral attitudes of the constituent members, we analyze the effect of the intensity of the individual sense of fairness on the solution of Nash bargaining over random allocation procedures. We use a stylized model of university admission policies to illustrate our approach. We show that even if social policies are ultimately determined by the bargaining power of the different groups, a society whose members have a common notion of fairness tends to implement fairer admission policies when the intensity of the sense of fairness of individual members increases.","2008-04-01","2024-04-01 17:45:21","2024-04-01 17:45:21","","427-446","","3","30","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BKREWD8S","journalArticle","2005","Fleurbaey, Marc; Mongin, Philippe","The news of the death of welfare economics is greatly exaggerated","Social Choice and Welfare","","1432-217X","10.1007/s00355-005-0010-1","https://doi.org/10.1007/s00355-005-0010-1","The paper reexamines the controversy about Bergson–Samuelson social welfare functions (BSFs) that took place between welfare economists and social choice theorists as a consequence of Arrow’s (1951) impossibility theorem. The 1970’s witnessed a new version of the theorem that was meant to establish that BSFs “make interpersonal comparisons of utility or are dictatorial.” Against this, Samuelson reasserted the existence of well-behaved “ordinalist” BSFs and generally denied the relevance of Arrovian impossibilities to welfare economics. The paper formalizes and reassesses each camp’s arguments. While being also critical of Samuelson’s, it eventually endorses his conclusion that welfare economics was left untouched by the controversy. It draws some connections of BSFs with contemporary normative economics.","2005-12-01","2024-04-01 17:46:40","2024-04-01 17:46:40","","381-418","","2","25","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L2JUZAXY","journalArticle","2005","Weymark, John A.","Measurement theory and the foundations of utilitarianism","Social Choice and Welfare","","1432-217X","10.1007/s00355-005-0017-7","https://doi.org/10.1007/s00355-005-0017-7","This article reconsiders the Harsanyi–Sen debate concerning whether Harsanyi is justified in interpreting his Aggregation and Impartial Observer Theorems as providing axiomatizations of utilitarianism. Sen's criticism and its formalization by Weymark are based on the claim that von Neumann–Morgenstern utility theory is ordinal, whereas Harsanyi's utilitarian conclusions require cardinal utility. Proposals for overcoming Sen's objection that appeal to formal measurement theory are considered. It is argued that one of these proposals due to Broome and Risse rightly points to a feature of expected utility theory that was ignored by Sen and Weymark, but that this proposal does not provide a normatively compelling justification for cardinal utility. The other proposal due to Broome is shown to make use of a strength of preference relation in addition to the axioms of expected utility theory.","2005-12-01","2024-04-01 17:47:48","2024-04-01 17:47:48","","527-555","","2","25","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QXL6LDDP","journalArticle","2006","Banerjee, Kuntal","On the Extension of the Utilitarian and Suppes–Sen Social Welfare Relations to Infinite Utility Streams","Social Choice and Welfare","","1432-217X","10.1007/s00355-006-0135-x","https://doi.org/10.1007/s00355-006-0135-x","Extensions of a utilitarian and a Suppes–Sen grading principle defined on infinite utility streams are characterized with a stronger notion of Anonymity and without any consistency postulate. The relative merits of the Extended Utilitarian relation are discussed and its rankings are compared with those of the overtaking criterion and the Basu–Mitra Utilitarian relation.","2006-10-01","2024-04-01 19:49:58","2024-04-01 19:49:58","","327-339","","2","27","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ULG8KGSQ","journalArticle","1994","Mongin, Philippe","Harsanyi's Aggregation Theorem: multi-profile version and unsettled questions","Social Choice and Welfare","","1432-217X","10.1007/BF00183302","https://doi.org/10.1007/BF00183302","Harsanyi's Aggregation Theorem states that if the individuals' as well as the moral observer's utility functions are von Neumann-Morgenstern, and a Pareto condition holds, then the latter function is affine in terms of the former. Sen and others have objected to Harsanyi's use of this result as an argument for utilitarianism. The present article proves an analogue of the Aggregation Theorem within the multi-profile formalism of social welfare functionals. This restatement and two closely related results provide a framework in which the theorem can be compared with well-known characterisations of utilitarianism, and its ethical significance can be better appreciated. While several interpretative questions remain unsettled, it is argued that at least one major objection among those raised by Sen has been answered.","1994-10-01","2024-04-01 19:51:05","2024-04-01 19:51:05","","331-354","","4","11","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"V5YWN8G7","journalArticle","1985","Le Breton, M.; Trannoy, A.; Uriarte, J. R.","Topological aggregation of inequality preorders","Social Choice and Welfare","","1432-217X","10.1007/BF00437312","https://doi.org/10.1007/BF00437312","An inequality preorder is defined as a complete preorder on a simplex which satisfies the properties of continuity and strict Schur-convexity (the mathematical equivalent of Dalton's “principle of transfers”). The paper shows that it is possible to aggregate individual inequality preorders into a collective one if we are interested in continuous anonymous aggregation rules that respect unanimity. The aggregation problem is studied within a topological framework introduced by Chichilnisky.","1985-09-01","2024-04-01 19:51:53","2024-04-01 19:51:53","","119-129","","2","2","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MQ26N5WP","journalArticle","1986","Weymark, John A.","Bunching properties of optimal nonlinear income taxes","Social Choice and Welfare","","1432-217X","10.1007/BF00433536","https://doi.org/10.1007/BF00433536","Bunching is said to occur if individuals with different characteristics receive the same commodity bundle. This article analyzes bunching in a finite population optimal nonlinear income tax problem. Several easily-computed sufficient conditions for the optimality of particular bunching patterns as well as a simple necessary and sufficient condition for the optimal allocation to exhibit no bunching are presented. In addition, a characterization of the optimal allocation is provided. Is is shown that the bunching pattern obtained by S. Lollivier and J.-C. Rochet is a consequence of a convexity condition which is automatically satisfied in their continuum model but which is not generally satisfied in a finite model.","1986-09-01","2024-04-07 09:40:47","2024-04-07 09:40:47","","213-232","","3","3","","Social Choice and Welfare","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
